Sursa,Itemul,Problema,Pasii de rezolvare,Raspunsul,Dificultate,Tema,Tema_norm,Domeniu,Dificultate_group,Sursa_type,Sursa_year,Problema_clean,Pasi_clean,Raspuns_clean,problem_chars,problem_words,steps_chars,answer_chars,n_digits,n_math_symbols,has_percent,has_geometry_word,has_equation_word,has_radical,has_function_word,has_real_life_context,problem_hash
Exersare Test 2 - 2021,11.0,Determinați X pentru care X/(X-3) = 18/(X²-9),X²-9 = (X-3)(X+3). Ecuația: X/(X-3) = 18/((X-3)(X+3)). Înmulțim cu (X-3): X = 18/(X+3) => X(X+3) = 18 => X² + 3X - 18 = 0. Δ = 9 + 72 = 81. X₁ = (-3+9)/2 = 3; X₂ = (-3-9)/2 = -6. X = 3 nu e valid (numitor = 0). X = -6,X = -6,3.0,Ecuații cu fracții,Ecuații,"Ecuații, inecuații și sisteme",3 - consolidare,exersare,2021.0,determinati x pentru care x/(x-3) = 18/(x²-9),x²-9 = (x-3)(x+3). ecuatia: x/(x-3) = 18/((x-3)(x+3)). inmultim cu (x-3): x = 18/(x+3) => x(x+3) = 18 => x² + 3x - 18 = 0. δ = 9 + 72 = 81. x₁ = (-3+9)/2 = 3; x₂ = (-3-9)/2 = -6. x = 3 nu e valid (numitor = 0). x = -6,x = -6,45,7,217,6,4,9,0,0,0,0,0,0,determinati x pentru care x/(x-3) = 18/(x²-9)
Exersare Test 1 - 2020,6.0,Determinați cea mai mică soluție a ecuației |2x − 3| = 5.,2x - 3 = 5 → x = 4; 2x - 3 = -5 → x = -1. Min = -1,-1,2.0,Ecuații cu modul,Ecuații,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2020.0,determinati cea mai mica solutie a ecuatiei |2x - 3| = 5.,2x - 3 = 5 → x = 4; 2x - 3 = -5 → x = -1. min = -1,-1,57,12,50,2,3,1,0,0,1,0,0,0,determinati cea mai mica solutie a ecuatiei |2x - 3| = 5.
Exersare Test 1 - 2022,6.0,Fie A multimea solutiilor reale ale ecuatiei 3x² + 5x - 2 = 0. Determinati multimea A \ Z (A fara Z),"Δ = 25 + 24 = 49. x₁ = (-5+7)/6 = 1/3; x₂ = (-5-7)/6 = -2. A = {1/3, -2}. A \ Z = {1/3}",{1/3},1.0,Ecuatii de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",1 - bază,exersare,2022.0,fie a multimea solutiilor reale ale ecuatiei 3x² + 5x - 2 = 0. determinati multimea a \ z (a fara z),"δ = 25 + 24 = 49. x₁ = (-5+7)/6 = 1/3; x₂ = (-5-7)/6 = -2. a = {1/3, -2}. a \ z = {1/3}",{1/3},100,22,87,5,4,5,0,0,1,0,0,0,fie a multimea solutiilor reale ale ecuatiei 3x² + 5x - 2 = 0. determinati multimea a \ z (a fara z)
Exersare Test 1 - 2023,6.0,"Determinati solutiile reale ale ecuatiei 3x^2 + 4x - 4 = 0, care apartin intervalului [-sqrt(2); sqrt(2)].","Δ = 64, x1 = -2, x2 = 2/3 ; -2<(-sqrt(2)) => x1 nu apartine intervalului, doar x2 apartine",2/3,1.0,Ecuatii de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",1 - bază,exersare,2023.0,"determinati solutiile reale ale ecuatiei 3x^2 + 4x - 4 = 0, care apartin intervalului [-sqrt(2); sqrt(2)].","δ = 64, x1 = -2, x2 = 2/3 ; -2<(-sqrt(2)) => x1 nu apartine intervalului, doar x2 apartine",2/3,106,17,90,3,7,11,0,0,1,1,0,0,"determinati solutiile reale ale ecuatiei 3x^2 + 4x - 4 = 0, care apartin intervalului [-sqrt(2); sqrt(2)]."
Exersare Test 1 - 2025,6.0,Determinati inversul solutiei reale nenule a ecuatiei 4x^2 - 3x = 0.,1) Rezolvam ecuatia: 4x^2 - 3x = 0 => x(4x - 3) = 0. 2) Solutii: x = 0 sau x = 3/4. 3) Solutia nenula: x = 3/4. 4) Inversul lui 3/4 este 4/3.,4/3,2.0,Ecuatii de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2025.0,determinati inversul solutiei reale nenule a ecuatiei 4x^2 - 3x = 0.,1) rezolvam ecuatia: 4x^2 - 3x = 0 => x(4x - 3) = 0. 2) solutii: x = 0 sau x = 3/4. 3) solutia nenula: x = 3/4. 4) inversul lui 3/4 este 4/3.,4/3,68,12,141,3,4,3,0,0,1,0,0,0,determinati inversul solutiei reale nenule a ecuatiei 4x^2 - 3x = 0.
Exersare Test 2 - 2022,6.0,Determinati suma patratelor solutiilor reale ale ecuatiei x^2 - 2x - 15 = 0,delta=4+60=64; x1=(2+8)/2=5; x2=(2-8)/2=-3; x1^2+x2^2=25+9=34,34,2.0,Ecuatii de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2022.0,determinati suma patratelor solutiilor reale ale ecuatiei x^2 - 2x - 15 = 0,delta=4+60=64; x1=(2+8)/2=5; x2=(2-8)/2=-3; x1^2+x2^2=25+9=34,34,75,14,61,2,5,4,0,0,1,0,0,0,determinati suma patratelor solutiilor reale ale ecuatiei x^2 - 2x - 15 = 0
Exersare Test 2 - 2023,6.0,Determinati inversul celei mai mici solutii reale ale ecuatiei 12x² - 7x + 1 = 0,Δ = 49 - 48 = 1; x1 = (7-1)/24 = 6/24 = 1/4; x2 = (7+1)/24 = 8/24 = 1/3; Cea mai mică: 1/4; Inversul: 4,4,1.0,Ecuatii de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",1 - bază,exersare,2023.0,determinati inversul celei mai mici solutii reale ale ecuatiei 12x² - 7x + 1 = 0,δ = 49 - 48 = 1; x1 = (7-1)/24 = 6/24 = 1/4; x2 = (7+1)/24 = 8/24 = 1/3; cea mai mica: 1/4; inversul: 4,4,80,16,103,1,5,3,0,0,1,0,0,1,determinati inversul celei mai mici solutii reale ale ecuatiei 12x² - 7x + 1 = 0
Sesiune de baza 2025,6.0,Determinați pătratul celei mai mici soluții reale a ecuației 2x² − x − 3 = 0.,"Rezolvăm ecuația 2x² − x − 3 = 0:
Δ = 1 + 24 = 25
√Δ = 5

x₁ = (1 + 5)/4 = 6/4 = 3/2
x₂ = (1 − 5)/4 = −4/4 = −1

Cea mai mică soluție: x₂ = −1
Pătratul: (−1)² = 1",1,2.0,Ecuatii de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,sesiune_baza,2025.0,determinati patratul celei mai mici solutii reale a ecuatiei 2x² - x - 3 = 0.,rezolvam ecuatia 2x² - x - 3 = 0: δ = 1 + 24 = 25 √δ = 5 x₁ = (1 + 5)/4 = 6/4 = 3/2 x₂ = (1 - 5)/4 = -4/4 = -1 cea mai mica solutie: x₂ = -1 patratul: (-1)² = 1,1,77,16,162,1,3,1,0,0,1,0,0,1,determinati patratul celei mai mici solutii reale a ecuatiei 2x² - x - 3 = 0.
Exersare Test 2 - 2021,6.0,A = mulțimea soluțiilor ecuației 5x² + 3x - 2 = 0. Determinați A ∩ [-1; 3/10),"Δ = 9 + 40 = 49. x₁ = (-3+7)/10 = 2/5; x₂ = (-3-7)/10 = -1. A = {-1, 2/5}. Verificăm: -1 ∈ [-1; 3/10)? Da. 2/5 = 0.4 ∈ [-1; 3/10)? 0.4 > 0.3, nu. A ∩ [-1; 3/10) = {-1}",{-1},2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2021.0,a = multimea solutiilor ecuatiei 5x² + 3x - 2 = 0. determinati a ∩ [-1; 3/10),"δ = 9 + 40 = 49. x₁ = (-3+7)/10 = 2/5; x₂ = (-3-7)/10 = -1. a = {-1, 2/5}. verificam: -1 ∈ [-1; 3/10)? da. 2/5 = 0.4 ∈ [-1; 3/10)? 0.4 > 0.3, nu. a ∩ [-1; 3/10) = {-1}",{-1},77,17,167,4,8,8,0,0,1,0,0,0,a = multimea solutiilor ecuatiei 5x² + 3x - 2 = 0. determinati a ∩ [-1; 3/10)
Exersare Test 2 - 2024,6.0,"Determinați soluțiile reale ale ecuației 8x² - 10x + 3 = 0, care sunt mai mari decât 2/3.",Δ = 100 - 96 = 4; x₁ = (10-2)/16 = 8/16 = 1/2; x₂ = (10+2)/16 = 12/16 = 3/4. Soluția > 2/3: doar 3/4,3/4,4.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",4 - avansat,exersare,2024.0,"determinati solutiile reale ale ecuatiei 8x² - 10x + 3 = 0, care sunt mai mari decat 2/3.",δ = 100 - 96 = 4; x₁ = (10-2)/16 = 8/16 = 1/2; x₂ = (10+2)/16 = 12/16 = 3/4. solutia > 2/3: doar 3/4,3/4,89,18,100,3,7,4,0,0,1,0,0,0,"determinati solutiile reale ale ecuatiei 8x² - 10x + 3 = 0, care sunt mai mari decat 2/3."
Exersare Test 2 - 2025,6.0,Cubul rădăcinii mai mari a ecuației x² − 2x − 3 = 0,"Rezolvăm x²-2x-3=0: Δ=4+12=16, x₁=(2+4)/2=3, x₂=(2-4)/2=-1. Rădăcina mai mare: x=3. Cubul: 3³=27.",27,3.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",3 - consolidare,exersare,2025.0,cubul radacinii mai mari a ecuatiei x² - 2x - 3 = 0,"rezolvam x²-2x-3=0: δ=4+12=16, x₁=(2+4)/2=3, x₂=(2-4)/2=-1. radacina mai mare: x=3. cubul: 3³=27.",27,51,13,97,2,3,1,0,0,1,0,0,0,cubul radacinii mai mari a ecuatiei x² - 2x - 3 = 0
Pretestare 2024,6.0,Rezolvați x(x-1) - 12 = 0,"x² - x - 12 = 0. Δ = 49. x₁ = 4, x₂ = -3","x₁ = 4, x₂ = -3",3.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",3 - consolidare,pretestare,2024.0,rezolvati x(x-1) - 12 = 0,"x² - x - 12 = 0. δ = 49. x₁ = 4, x₂ = -3","x₁ = 4, x₂ = -3",25,6,40,15,4,5,0,0,0,0,0,0,rezolvati x(x-1) - 12 = 0
Pretestare 2025,3.0,Cel mai mic întreg între rădăcinile ecuației 6x²+7x-3=0,"x₁ = 1/3, x₂ = -3/2. Între -1.5 și 0.33, cel mai mic întreg: -1",-1,3.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",3 - consolidare,pretestare,2025.0,cel mai mic intreg intre radacinile ecuatiei 6x²+7x-3=0,"x₁ = 1/3, x₂ = -3/2. intre -1.5 si 0.33, cel mai mic intreg: -1",-1,55,8,63,2,4,3,0,0,1,0,0,0,cel mai mic intreg intre radacinile ecuatiei 6x²+7x-3=0
Sesiune de bază 2022,6.0,Rezolvați ecuația 6x² + 7x + 2 = 0 pentru cea mai mare rădăcină reală,"Δ = 49 - 48 = 1. x₁ = -1/2, x₂ = -2/3. Cea mai mare: -1/2",x = -1/2,3.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",3 - consolidare,sesiune_baza,2022.0,rezolvati ecuatia 6x² + 7x + 2 = 0 pentru cea mai mare radacina reala,"δ = 49 - 48 = 1. x₁ = -1/2, x₂ = -2/3. cea mai mare: -1/2",x = -1/2,69,15,57,8,4,3,0,0,1,0,0,0,rezolvati ecuatia 6x² + 7x + 2 = 0 pentru cea mai mare radacina reala
Sesiune de bază 2023,6.0,Rezolvați x² - 3x - 4 = 0 și găsiți diferența absolută a soluțiilor,"x₁ = 4, x₂ = -1. Diferența: |4 - (-1)| = 5",5,3.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",3 - consolidare,sesiune_baza,2023.0,rezolvati x² - 3x - 4 = 0 si gasiti diferenta absoluta a solutiilor,"x₁ = 4, x₂ = -1. diferenta: |4 - (-1)| = 5",5,67,14,42,1,3,3,0,0,1,0,0,0,rezolvati x² - 3x - 4 = 0 si gasiti diferenta absoluta a solutiilor
Sesiune de bază 2024,6.0,Rezolvați 3x² - 7x + 2 = 0 pentru soluții mai mari decât √2,"x₁ = 2, x₂ = 1/3. √2 ≈ 1.41. Soluția > √2: x = 2",x = 2,3.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",3 - consolidare,sesiune_baza,2024.0,rezolvati 3x² - 7x + 2 = 0 pentru solutii mai mari decat √2,"x₁ = 2, x₂ = 1/3. √2 ≈ 1.41. solutia > √2: x = 2",x = 2,59,14,48,5,5,4,0,0,1,1,0,0,rezolvati 3x² - 7x + 2 = 0 pentru solutii mai mari decat √2
Exersare Test 2 - 2020,6.0,Determinați |r₁ − r₂| pentru ecuația x² − 5x + 6 = 0.,"x² - 5x + 6 = 0 → (x-2)(x-3) = 0 → x₁ = 2, x₂ = 3. |r₁ - r₂| = |2-3| = 1",1,2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2020.0,determinati |r₁ - r₂| pentru ecuatia x² - 5x + 6 = 0.,"x² - 5x + 6 = 0 → (x-2)(x-3) = 0 → x₁ = 2, x₂ = 3. |r₁ - r₂| = |2-3| = 1",1,53,13,72,1,3,2,0,0,1,0,0,0,determinati |r₁ - r₂| pentru ecuatia x² - 5x + 6 = 0.
Sesiunea de bază - 2019,6.0,A = soluțiile reale ale x²−x−6=0. Găsiți A∩ℕ.,"x² - x - 6 = 0 → (x-3)(x+2) = 0 → x = 3, x = -2. A∩ℕ = {3}",{3},2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,sesiune_baza,2019.0,a = solutiile reale ale x²-x-6=0. gasiti a∩ℕ.,"x² - x - 6 = 0 → (x-3)(x+2) = 0 → x = 3, x = -2. a∩ℕ = {3}",{3},45,8,58,3,2,2,0,0,1,0,0,0,a = solutiile reale ale x²-x-6=0. gasiti a∩ℕ.
Exersare Test 1 - 2018,6.0,Găsiți cea mai mică soluție a ecuației 6x² + 5x + 1 = 0.,"6x² + 5x + 1 = 0. x = (-5±1)/12. x₁ = -1/3, x₂ = -1/2. Min = -1/2",-1/2,2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2018.0,gasiti cea mai mica solutie a ecuatiei 6x² + 5x + 1 = 0.,"6x² + 5x + 1 = 0. x = (-5±1)/12. x₁ = -1/3, x₂ = -1/2. min = -1/2",-1/2,56,14,65,4,4,3,0,0,1,0,0,0,gasiti cea mai mica solutie a ecuatiei 6x² + 5x + 1 = 0.
Exersare Test 2 - 2018,6.0,Găsiți |diferența rădăcinilor| pentru x² + 2x − 8 = 0.,"x² + 2x - 8 = 0 → (x+4)(x-2) = 0 → x = -4, 2. |−4−2| = 6",6,2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2018.0,gasiti |diferenta radacinilor| pentru x² + 2x - 8 = 0.,"x² + 2x - 8 = 0 → (x+4)(x-2) = 0 → x = -4, 2. |-4-2| = 6",6,54,11,56,1,3,2,0,0,0,0,0,0,gasiti |diferenta radacinilor| pentru x² + 2x - 8 = 0.
Pretestare - 2018,6.0,Modulul celei mai mici soluții a ecuației 2x² + 5x + 2 = 0.,"2x² + 5x + 2 = 0. x = (-5±3)/4. x₁ = -1/2, x₂ = -2. |min| = |-2| = 2",2,2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,pretestare,2018.0,modulul celei mai mici solutii a ecuatiei 2x² + 5x + 2 = 0.,"2x² + 5x + 2 = 0. x = (-5±3)/4. x₁ = -1/2, x₂ = -2. |min| = |-2| = 2",2,59,14,68,1,4,3,0,0,1,0,0,1,modulul celei mai mici solutii a ecuatiei 2x² + 5x + 2 = 0.
Sesiunea de bază - 2018,6.0,Modulul diferenței soluțiilor x² − 7x + 12 = 0.,"(x-3)(x-4) = 0 → x = 3, 4. |3-4| = 1",1,2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,sesiune_baza,2018.0,modulul diferentei solutiilor x² - 7x + 12 = 0.,"(x-3)(x-4) = 0 → x = 3, 4. |3-4| = 1",1,47,10,36,1,4,2,0,0,1,0,0,0,modulul diferentei solutiilor x² - 7x + 12 = 0.
Exersare Test 1 - 2017,6.0,"Pentru 3x² − 2x − 8 = 0, determinați A∖ℕ.","x = (2±√(4+96))/6 = (2±10)/6. x₁ = 2, x₂ = -4/3. A = {2, -4/3}. A∖ℕ = {-4/3}",{-4/3},2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2017.0,"pentru 3x² - 2x - 8 = 0, determinati a∖ℕ.","x = (2±√(4+96))/6 = (2±10)/6. x₁ = 2, x₂ = -4/3. a = {2, -4/3}. a∖ℕ = {-4/3}",{-4/3},41,10,76,6,4,1,0,0,0,0,0,0,"pentru 3x² - 2x - 8 = 0, determinati a∖ℕ."
Exersare Test 2 - 2017,6.0,"Rezolvați -6x²−x+2=0. A∩(-½,1).","6x²+x-2=0. x = (-1±7)/12. x₁ = 1/2, x₂ = -2/3. A∩(-1/2,1) = {1/2}",{1/2},2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,exersare,2017.0,"rezolvati -6x²-x+2=0. a∩(-½,1).","6x²+x-2=0. x = (-1±7)/12. x₁ = 1/2, x₂ = -2/3. a∩(-1/2,1) = {1/2}",{1/2},31,3,65,5,4,6,0,0,0,0,0,0,"rezolvati -6x²-x+2=0. a∩(-½,1)."
Pretestare - 2017,6.0,"A = soluțiile lui 2x² + 5x - 3 = 0. Dați A ∪ {-3, 3}.","x = (-5±7)/4. x₁ = 1/2, x₂ = -3. A = {1/2, -3}. A∪{-3,3} = {-3, 1/2, 3}","{-3, 1/2, 3}",2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,pretestare,2017.0,"a = solutiile lui 2x² + 5x - 3 = 0. dati a ∪ {-3, 3}.","x = (-5±7)/4. x₁ = 1/2, x₂ = -3. a = {1/2, -3}. a∪{-3,3} = {-3, 1/2, 3}","{-3, 1/2, 3}",53,16,71,12,6,7,0,0,1,0,0,0,"a = solutiile lui 2x² + 5x - 3 = 0. dati a ∪ {-3, 3}."
Sesiunea de bază - 2017,6.0,"A = soluțiile lui 3x² + 7x − 6 = 0. A ∩ [−1, 7/10].","x = (-7±√(49+72))/6 = (-7±11)/6. x₁ = 2/3, x₂ = -3. A∩[-1,7/10] = {2/3}",{2/3},2.0,Ecuații de gradul II,Ecuații de gradul II,"Ecuații, inecuații și sisteme",2 - mediu,sesiune_baza,2017.0,"a = solutiile lui 3x² + 7x - 6 = 0. a ∩ [-1, 7/10].","x = (-7±√(49+72))/6 = (-7±11)/6. x₁ = 2/3, x₂ = -3. a∩[-1,7/10] = {2/3}",{2/3},51,15,71,5,8,6,0,0,1,0,0,0,"a = solutiile lui 3x² + 7x - 6 = 0. a ∩ [-1, 7/10]."
